City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.58,88,91,12.55,TF,1720412813
1,albany,42.6001,-73.9662,21.44,85,0,1.25,US,1720412814
2,adamstown,-25.066,-130.1015,20.04,69,100,9.92,PN,1720412815
3,ust-nera,64.5667,143.2,16.48,51,30,2.69,RU,1720412633
4,ushuaia,-54.8,-68.3,2.81,81,40,7.72,AR,1720412634
5,aykhal,66.0,111.5,23.7,38,100,9.68,RU,1720412636
6,west island,-12.1568,96.8225,29.99,79,90,3.6,CC,1720412820
7,puerto natales,-51.7236,-72.4875,0.32,96,96,2.07,CL,1720412821
8,gaspe,48.8334,-64.4819,15.12,94,0,0.0,CA,1720412639
9,yellowknife,62.456,-114.3525,20.23,85,75,2.57,CA,1720412640
10,tura,25.5198,90.2201,27.91,89,68,2.83,IN,1720412825
11,ta`u,-14.2336,-169.5144,26.7,82,72,10.93,AS,1720412826
12,aleksandrovsk-sakhalinskiy,50.8975,142.1561,16.68,85,100,5.7,RU,1720412827
13,cabo san lucas,22.8909,-109.9124,30.61,61,21,6.57,MX,1720412792
14,peace river,56.2501,-117.286,24.17,64,40,1.54,CA,1720412830
15,thinadhoo,0.5333,72.9333,28.54,73,81,2.08,MV,1720412831
16,puerto ayora,-0.7393,-90.3518,21.42,95,54,1.34,EC,1720412832
17,iqaluit,63.7506,-68.5145,4.85,93,75,2.06,CA,1720412834
18,say,13.1007,2.3689,29.31,64,92,5.23,NE,1720412835
19,margaret river,-33.95,115.0667,16.49,69,100,9.03,AU,1720412581
20,selfoss,63.9331,-20.9971,8.91,88,81,0.78,IS,1720412837
21,bokkos,9.3,9.0,17.78,95,95,1.62,NG,1720412839
22,tiksi,71.6872,128.8694,7.95,65,24,2.23,RU,1720412840
23,isafjordur,66.0755,-23.124,6.9,82,52,1.88,IS,1720412841
24,plastun,44.7561,136.2939,20.96,74,98,2.91,RU,1720412842
25,phalaborwa,-23.943,31.1411,16.6,12,0,2.82,ZA,1720412845
26,sanctuary point,-35.1114,150.629,16.85,76,98,1.02,AU,1720412846
27,gorontalo,0.5412,123.0595,23.98,99,92,1.38,ID,1720412442
28,chonchi,-42.6128,-73.8092,5.07,94,73,1.49,CL,1720412848
29,la passe,45.5549,-0.8967,15.13,77,90,3.4,FR,1720412850
30,badiyah,22.45,58.8,34.3,33,76,0.75,OM,1720412851
31,grytviken,-54.2811,-36.5092,-5.14,50,16,2.06,GS,1720412852
32,udachny,66.4167,112.4,24.71,38,100,8.46,RU,1720412854
33,atafu village,-8.5421,-172.5159,28.64,72,67,4.67,TK,1720412856
34,yung shue wan,22.2333,114.1167,32.68,68,4,3.08,HK,1720412857
35,edinburgh of the seven seas,-37.0676,-12.3116,12.88,76,97,14.84,SH,1720412859
36,haiku-pauwela,20.9219,-156.3051,26.01,72,20,9.26,US,1720412860
37,hadibu,12.65,54.0333,26.55,81,100,8.15,YE,1720412863
38,arraial do cabo,-22.9661,-42.0278,21.51,86,20,3.37,BR,1720412864
39,carutapera,-1.195,-46.02,24.44,88,8,1.96,BR,1720412865
40,saipan,15.1355,145.701,32.39,62,20,5.14,MP,1720412867
41,port alfred,-33.5906,26.891,11.21,60,95,3.58,ZA,1720412868
42,longyearbyen,78.2186,15.6401,3.91,93,75,1.54,SJ,1720412683
43,camapua,-19.5314,-54.0439,17.4,69,4,2.48,BR,1720412870
44,whitehorse,60.7161,-135.0538,22.43,36,75,3.6,CA,1720412872
45,kingaroy,-26.5333,151.8333,18.12,64,97,3.82,AU,1720412873
46,zhezqazghan,47.7833,67.7667,23.32,56,20,7.0,KZ,1720412874
47,retreat,38.8245,-85.8533,22.39,92,3,2.1,US,1720412875
48,naracoorte,-36.9579,140.7383,12.68,81,100,5.17,AU,1720412877
49,anadyr,64.75,177.4833,11.28,93,75,5.0,RU,1720412675
50,puerto deseado,-47.7503,-65.8938,2.37,69,100,3.94,AR,1720412879
51,lompoc,34.6391,-120.4579,14.77,95,100,2.06,US,1720412654
52,tondano,1.3038,124.9112,26.05,96,97,0.63,ID,1720412881
53,hobyo,5.3505,48.5268,25.6,71,75,10.96,SO,1720412883
54,arno,60.1167,18.6333,12.1,77,51,6.37,SE,1720412884
55,georgetown,5.4112,100.3354,30.97,60,40,3.09,MY,1720412885
56,prabumulih,-3.45,104.25,31.11,59,59,1.8,ID,1720412810
57,antonio enes,-16.2325,39.9086,18.06,76,6,2.36,MZ,1720412888
58,nar'yan-mar,67.6713,53.087,20.15,52,12,4.68,RU,1720412889
59,vadso,70.0744,29.7487,15.49,82,40,7.72,NO,1720412890
60,crane,31.3974,-102.3501,31.8,32,0,7.66,US,1720412891
